年,月,日,競艇場番号,レース番号,距離,天候,風向き,風速,波高,着,艇,登番,モーター,ボート,展示タイム,進入番号,スタートタイミング,レースタイム
2025,07,09,24,1,1800,雨,北東,5,4,1,5,3784,40,75,6.89,5,0.10,1.51.0
2025,07,09,24,1,1800,雨,北東,5,4,2,6,4948,67,13,6.90,6,0.07,1.52.4
2025,07,09,24,1,1800,雨,北東,5,4,3,1,3211,69,23,6.98,1,0.17,1.54.2
2025,07,09,24,1,1800,雨,北東,5,4,4,4,3527,39,18,6.93,4,0.09,1.55.4
2025,07,09,24,1,1800,雨,北東,5,4,5,3,4252,57,62,6.87,3,0.21,
2025,07,09,24,1,1800,雨,北東,5,4,6,2,3224,36,72,6.93,2,0.16,
2025,07,09,24,2,1800,雨,東,2,1,1,1,4498,54,58,6.90,1,0.32,1.52.1
2025,07,09,24,2,1800,雨,東,2,1,2,2,4268,53,68,6.92,2,0.24,1.53.3
2025,07,09,24,2,1800,雨,東,2,1,3,3,4835,45,70,6.94,3,0.18,1.54.0
2025,07,09,24,2,1800,雨,東,2,1,4,5,4837,41,60,6.96,5,0.13,1.54.1
2025,07,09,24,2,1800,雨,東,2,1,5,4,3998,51,11,6.98,4,0.13,
2025,07,09,24,2,1800,雨,東,2,1,6,6,3414,56,34,6.96,6,0.10,
2025,07,09,24,3,1800,雨,北東,3,2,1,1,3843,62,65,6.96,1,0.06,1.51.0
2025,07,09,24,3,1800,雨,北東,3,2,2,5,4644,12,66,6.99,5,0.10,1.52.0
2025,07,09,24,3,1800,雨,北東,3,2,3,4,4956,63,73,6.99,4,0.17,1.53.5
2025,07,09,24,3,1800,雨,北東,3,2,4,2,5032,44,63,6.92,2,0.11,1.54.8
2025,07,09,24,3,1800,雨,北東,3,2,5,3,3748,37,69,7.03,3,0.16,
2025,07,09,24,3,1800,雨,北東,3,2,6,6,5407,68,22,7.02,6,0.19,
2025,07,09,24,4,1800,雨,南東,1,1,1,1,4684,74,59,6.97,1,0.09,1.51.6
2025,07,09,24,4,1800,雨,南東,1,1,2,4,3777,52,77,7.02,4,0.17,1.52.8
2025,07,09,24,4,1800,雨,南東,1,1,3,6,5044,71,61,7.03,6,0.14,1.54.7
2025,07,09,24,4,1800,雨,南東,1,1,4,2,3381,72,74,6.93,2,0.15,1.55.6
2025,07,09,24,4,1800,雨,南東,1,1,5,5,4822,75,14,7.01,5,0.11,
2025,07,09,24,4,1800,雨,南東,1,1,6,3,4327,43,28,6.99,3,0.11,
2025,07,09,24,5,1800,雨,南,1,1,1,1,3853,11,20,6.93,1,0.26,1.49.8
2025,07,09,24,5,1800,雨,南,1,1,2,5,5307,50,33,6.95,5,0.21,1.51.5
2025,07,09,24,5,1800,雨,南,1,1,3,6,4776,48,19,6.96,6,0.20,1.52.8
2025,07,09,24,5,1800,雨,南,1,1,4,2,4362,15,25,6.94,2,0.16,1.54.1
2025,07,09,24,5,1800,雨,南,1,1,5,4,4872,61,67,7.00,4,0.17,
2025,07,09,24,5,1800,雨,南,1,1,6,3,4006,16,16,7.03,3,0.28,
2025,07,09,24,6,1800,曇り,南,1,1,1,4,4252,57,62,6.99,4,0.14,1.51.6
2025,07,09,24,6,1800,曇り,南,1,1,2,2,4600,66,29,7.05,2,0.17,1.52.5
2025,07,09,24,6,1800,曇り,南,1,1,3,1,3995,46,64,7.00,1,0.22,1.54.1
2025,07,09,24,6,1800,曇り,南,1,1,4,6,5309,70,71,6.98,6,0.21,1.55.6
2025,07,09,24,6,1800,曇り,南,1,1,5,5,3294,64,15,7.04,5,0.10,
2025,07,09,24,6,1800,曇り,南,1,1,6,3,3784,40,75,7.04,3,0.19,
2025,07,09,24,7,1800,曇り,南東,1,1,1,1,4148,14,35,7.00,1,0.08,1.51.8
2025,07,09,24,7,1800,曇り,南東,1,1,2,5,3224,36,72,7.03,5,0.05,1.53.3
2025,07,09,24,7,1800,曇り,南東,1,1,3,3,4666,55,27,7.07,3,0.02,1.54.2
2025,07,09,24,7,1800,曇り,南東,1,1,4,6,4839,58,31,7.03,6,0.09,1.54.3
2025,07,09,24,7,1800,曇り,南東,1,1,5,4,4268,53,68,7.02,4,0.06,
2025,07,09,24,7,1800,曇り,南東,1,1,6,2,3998,51,11,7.07,2,0.09,
2025,07,09,24,8,1800,曇り,北東,2,1,1,4,4327,43,28,6.95,4,0.09,1.51.8
2025,07,09,24,8,1800,曇り,北東,2,1,2,1,4116,49,24,6.96,1,0.25,1.52.6
2025,07,09,24,8,1800,曇り,北東,2,1,3,3,4837,41,60,7.03,3,0.11,1.53.9
2025,07,09,24,8,1800,曇り,北東,2,1,4,5,4956,63,73,7.03,5,0.08,1.55.4
2025,07,09,24,8,1800,曇り,北東,2,1,5,6,3211,69,23,7.03,6,0.07,
2025,07,09,24,8,1800,曇り,北東,2,1,6,2,3748,37,69,7.05,2,0.23,
2025,07,09,24,9,1800,曇り,北東,1,1,1,3,3527,39,18,7.02,3,0.11,1.51.3
2025,07,09,24,9,1800,曇り,北東,1,1,2,1,4948,67,13,6.99,1,0.11,1.51.7
2025,07,09,24,9,1800,曇り,北東,1,1,3,5,4835,45,70,7.00,5,0.13,1.52.9
2025,07,09,24,9,1800,曇り,北東,1,1,4,2,4822,75,14,7.03,2,0.14,1.53.8
2025,07,09,24,9,1800,曇り,北東,1,1,5,6,3843,62,65,7.02,6,0.11,
2025,07,09,24,9,1800,曇り,北東,1,1,6,4,5044,71,61,7.02,4,0.11,
2025,07,09,24,10,1800,曇り,北東,1,1,1,1,4776,48,19,6.96,1,0.12,1.50.3
2025,07,09,24,10,1800,曇り,北東,1,1,2,3,5032,44,63,6.96,3,0.16,1.51.5
2025,07,09,24,10,1800,曇り,北東,1,1,3,5,4362,15,25,6.92,5,0.12,1.52.9
2025,07,09,24,10,1800,曇り,北東,1,1,4,2,4684,74,59,6.96,2,0.17,1.53.9
2025,07,09,24,10,1800,曇り,北東,1,1,5,4,3995,46,64,6.96,4,0.13,
2025,07,09,24,10,1800,曇り,北東,1,1,6,6,4498,54,58,6.95,6,0.16,
2025,07,09,24,11,1800,曇り,北東,1,1,1,1,3422,47,78,6.96,1,0.11,1.50.3
2025,07,09,24,11,1800,曇り,北東,1,1,2,3,4757,73,17,7.00,3,0.08,1.51.5
2025,07,09,24,11,1800,曇り,北東,1,1,3,4,4826,13,21,6.94,4,0.08,1.52.6
2025,07,09,24,11,1800,曇り,北東,1,1,4,2,5068,65,12,6.88,2,0.07,1.53.2
2025,07,09,24,11,1800,曇り,北東,1,1,5,5,4688,59,30,6.98,5,0.13,
2025,07,09,24,11,1800,曇り,北東,1,1,6,6,4879,60,32,6.98,6,0.27,
2025,07,09,24,12,1800,曇り,南東,1,1,1,1,4644,12,66,6.99,1,0.18,1.50.4
2025,07,09,24,12,1800,曇り,南東,1,1,2,3,3777,52,77,7.05,3,0.22,1.52.2
2025,07,09,24,12,1800,曇り,南東,1,1,3,5,4600,66,29,6.96,5,0.23,1.53.5
2025,07,09,24,12,1800,曇り,南東,1,1,4,6,4148,14,35,7.02,6,0.30,1.54.6
2025,07,09,24,12,1800,曇り,南東,1,1,5,4,3381,72,74,6.95,4,0.19,
2025,07,09,24,12,1800,曇り,南東,1,1,6,2,3853,11,20,7.01,2,0.23,
2025,07,09,23,1,1800,晴,西,2,2,1,1,4738,28,15,6.76,1,0.15,1.50.2
2025,07,09,23,1,1800,晴,西,2,2,2,3,3604,62,59,6.83,3,0.21,1.54.0
2025,07,09,23,1,1800,晴,西,2,2,3,5,4501,39,13,6.81,5,0.16,1.54.3
2025,07,09,23,1,1800,晴,西,2,2,4,4,4940,25,39,6.82,4,0.16,1.55.8
2025,07,09,23,1,1800,晴,西,2,2,5,6,5367,49,23,6.77,6,0.16,1.59.0
2025,07,09,23,1,1800,晴,西,2,2,6,2,5254,60,1,6.78,2,0.19,1.59.0
2025,07,09,23,2,1800,晴,北,1,1,1,2,4893,17,41,6.78,2,0.14,1.50.5
2025,07,09,23,2,1800,晴,北,1,1,2,4,4891,48,27,6.81,4,0.18,1.51.9
2025,07,09,23,2,1800,晴,北,1,1,3,6,4823,29,40,6.75,6,0.11,1.53.4
2025,07,09,23,2,1800,晴,北,1,1,4,1,5113,16,10,6.78,1,0.18,1.54.7
2025,07,09,23,2,1800,晴,北,1,1,5,3,5192,67,51,6.83,3,0.15,1.56.3
2025,07,09,23,2,1800,晴,北,1,1,6,5,4275,41,26,6.78,5,0.31,1.58.1
2025,07,09,23,3,1800,晴,北,2,2,1,1,5118,23,7,6.78,1,0.23,1.51.2
2025,07,09,23,3,1800,晴,北,2,2,2,4,5370,53,48,6.94,5,0.09,1.54.3
2025,07,09,23,3,1800,晴,北,2,2,3,2,4990,11,30,6.80,2,0.19,1.55.0
2025,07,09,23,3,1800,晴,北,2,2,4,3,4947,19,58,6.82,3,0.24,1.55.2
2025,07,09,23,3,1800,晴,北,2,2,5,6,5387,14,32,6.81,6,0.19,1.57.2
2025,07,09,23,3,1800,晴,北,2,2,6,5,5198,34,22,6.88,4,0.23,1.57.5
2025,07,09,23,4,1800,晴,北,4,4,1,5,4011,52,12,6.79,5,0.07,1.49.7
2025,07,09,23,4,1800,晴,北,4,4,2,1,4642,56,33,6.81,1,0.14,1.51.3
2025,07,09,23,4,1800,晴,北,4,4,3,3,4720,69,4,6.86,3,0.20,1.54.2
2025,07,09,23,4,1800,晴,北,4,4,4,2,4680,55,45,6.83,2,0.22,1.55.6
2025,07,09,23,4,1800,晴,北,4,4,5,6,5389,46,9,6.81,6,0.08,1.57.1
2025,07,09,23,4,1800,晴,北,4,4,6,4,4283,58,43,6.92,4,0.14,1.58.1
2025,07,09,23,5,1800,晴,北,4,4,1,1,4938,70,57,6.83,1,0.17,1.50.4
2025,07,09,23,5,1800,晴,北,4,4,2,3,5155,50,18,6.87,3,0.14,1.51.9
2025,07,09,23,5,1800,晴,北,4,4,3,4,4791,24,24,6.85,4,0.14,1.53.3
2025,07,09,23,5,1800,晴,北,4,4,4,2,4733,51,28,6.82,2,0.25,1.54.7
2025,07,09,23,5,1800,晴,北,4,4,5,6,4924,43,37,6.95,5,0.12,1.56.6
2025,07,09,23,5,1800,晴,北,4,4,6,5,5367,49,23,6.84,6,0.13,1.57.9
2025,07,09,23,6,1800,晴,北,4,4,1,4,5019,42,34,6.86,4,0.09,1.51.1
2025,07,09,23,6,1800,晴,北,4,4,2,1,4893,17,41,6.84,1,0.08,1.52.2
2025,07,09,23,6,1800,晴,北,4,4,3,2,4819,30,25,6.96,2,0.26,1.53.4
2025,07,09,23,6,1800,晴,北,4,4,4,3,3435,12,50,6.94,3,0.14,1.55.2
2025,07,09,23,6,1800,晴,北,4,4,5,5,3604,62,59,6.93,5,0.16,1.56.6
2025,07,09,23,6,1800,晴,北,4,4,6,6,4882,20,42,6.91,6,0.01,1.58.2
2025,07,09,23,7,1800,晴,北,4,4,1,2,5305,18,11,6.96,2,0.11,1.51.0
2025,07,09,23,7,1800,晴,北,4,4,2,5,4738,28,15,6.90,5,0.18,1.53.4
2025,07,09,23,7,1800,晴,北,4,4,3,1,4990,11,30,6.88,1,0.18,1.54.2
2025,07,09,23,7,1800,晴,北,4,4,4,4,4275,41,26,6.93,4,0.13,1.55.8
2025,07,09,23,7,1800,晴,北,4,4,5,6,5148,27,14,6.86,6,0.18,1.55.8
2025,07,09,23,7,1800,晴,北,4,4,6,3,5182,68,38,6.93,3,0.09,1.59.0
2025,07,09,23,8,1800,晴,北,4,4,1,3,5069,22,36,6.85,3,0.09,1.50.9
2025,07,09,23,8,1800,晴,北,4,4,2,2,5118,23,7,6.88,2,0.15,1.52.5
2025,07,09,23,8,1800,晴,北,4,4,3,1,5254,60,1,6.89,1,0.14,1.54.9
2025,07,09,23,8,1800,晴,北,4,4,4,4,3232,63,17,6.98,4,0.17,1.56.0
2025,07,09,23,8,1800,晴,北,4,4,5,5,5192,67,51,6.96,5,0.16,1.57.3
2025,07,09,23,8,1800,晴,北,4,4,6,6,4720,69,4,6.95,6,0.26,2.00.2
2025,07,09,23,9,1800,晴,北,4,4,1,2,4823,29,40,6.85,2,0.09,1.50.9
2025,07,09,23,9,1800,晴,北,4,4,2,4,4373,40,52,6.83,4,0.09,1.51.7
2025,07,09,23,9,1800,晴,北,4,4,3,6,5155,50,18,6.84,6,0.17,1.53.2
2025,07,09,23,9,1800,晴,北,4,4,4,3,4071,61,49,6.84,3,0.11,1.54.4
2025,07,09,23,9,1800,晴,北,4,4,5,1,4940,25,39,6.90,1,0.11,1.56.9
2025,07,09,23,9,1800,晴,北,4,4,6,5,5370,53,48,6.87,5,0.15,1.59.1
2025,07,09,23,10,1800,晴,北,4,4,1,1,4501,39,13,6.89,1,0.08,1.51.4
2025,07,09,23,10,1800,晴,北,4,4,2,2,4746,64,31,6.90,2,0.15,1.52.4
2025,07,09,23,10,1800,晴,北,4,4,3,3,4882,20,42,6.88,3,0.17,1.54.2
2025,07,09,23,10,1800,晴,北,4,4,4,6,4947,19,58,6.91,6,0.16,1.55.6
2025,07,09,23,10,1800,晴,北,4,4,5,5,4642,56,33,6.85,5,0.18,1.57.3
2025,07,09,23,10,1800,晴,北,4,4,6,4,5113,16,10,6.91,4,0.23,2.01.0
2025,07,09,23,11,1800,晴,北,4,4,1,1,4791,24,24,6.90,1,0.13,1.50.4
2025,07,09,23,11,1800,晴,北,4,4,2,3,5019,42,34,6.84,3,0.21,1.52.9
2025,07,09,23,11,1800,晴,北,4,4,3,4,5188,57,16,6.90,4,0.24,1.54.3
2025,07,09,23,11,1800,晴,北,4,4,4,6,4283,58,43,6.93,6,0.15,1.55.1
2025,07,09,23,11,1800,晴,北,4,4,5,2,4891,48,27,6.87,2,0.17,1.55.6
2025,07,09,23,11,1800,晴,北,4,4,6,5,5148,27,14,6.89,5,0.35,1.56.2
2025,07,09,23,12,1800,晴,北,5,5,1,1,3435,12,50,6.90,1,0.07,1.50.2
2025,07,09,23,12,1800,晴,北,5,5,2,6,4011,52,12,6.81,6,0.01,1.51.9
2025,07,09,23,12,1800,晴,北,5,5,3,2,5069,22,36,6.86,2,0.03,1.54.1
2025,07,09,23,12,1800,晴,北,5,5,4,5,4733,51,28,6.80,5,0.04,1.54.4
2025,07,09,23,12,1800,晴,北,5,5,5,3,5198,34,22,6.93,3,0.07,1.56.6
2025,07,09,23,12,1800,晴,北,5,5,6,4,5182,68,38,6.87,4,0.07,1.58.1
2025,07,09,20,1,1800,晴,東,3,3,1,3,4495,52,11,6.95,3,0.20,1.53.2
2025,07,09,20,1,1800,晴,東,3,3,2,1,3273,59,67,6.99,1,0.19,1.54.3
2025,07,09,20,1,1800,晴,東,3,3,3,2,3463,50,23,7.02,2,0.18,1.55.5
2025,07,09,20,1,1800,晴,東,3,3,4,6,3434,11,66,6.97,6,0.12,1.56.2
2025,07,09,20,1,1800,晴,東,3,3,5,4,3430,2,37,6.94,4,0.14,
2025,07,09,20,1,1800,晴,東,3,3,6,5,3804,31,54,6.96,5,0.12,
2025,07,09,20,2,1800,晴,東,3,3,1,3,4124,12,39,6.84,3,0.19,1.52.5
2025,07,09,20,2,1800,晴,東,3,3,2,1,3911,39,34,6.94,1,0.21,1.54.3
2025,07,09,20,2,1800,晴,東,3,3,3,6,4092,33,58,6.97,6,0.16,1.55.2
2025,07,09,20,2,1800,晴,東,3,3,4,2,3454,46,33,6.99,2,0.26,1.56.4
2025,07,09,20,2,1800,晴,東,3,3,5,5,3866,35,61,7.02,5,0.10,
2025,07,09,20,2,1800,晴,東,3,3,6,4,3718,60,29,7.04,4,0.14,
2025,07,09,20,3,1800,晴,東,4,4,1,4,4958,54,45,6.94,4,0.05,1.54.3
2025,07,09,20,3,1800,晴,東,4,4,2,2,4978,22,59,7.00,2,0.07,1.54.9
2025,07,09,20,3,1800,晴,東,4,4,3,6,3286,6,56,6.96,6,0.13,1.56.0
2025,07,09,20,3,1800,晴,東,4,4,4,3,3442,36,16,6.96,3,0.08,1.57.6
2025,07,09,20,3,1800,晴,東,4,4,5,1,4111,62,75,6.99,1,0.12,
2025,07,09,20,3,1800,晴,東,4,4,6,5,4010,56,21,7.02,5,0.07,
2025,07,09,20,4,1800,晴,東,5,5,1,1,4022,42,70,6.96,1,0.05,1.52.8
2025,07,09,20,4,1800,晴,東,5,5,2,2,4083,19,69,7.03,2,0.13,1.54.1
2025,07,09,20,4,1800,晴,東,5,5,3,4,3826,28,25,6.97,4,0.12,1.55.3
2025,07,09,20,4,1800,晴,東,5,5,4,3,3305,17,12,7.00,3,0.14,1.56.5
2025,07,09,20,4,1800,晴,東,5,5,5,5,3615,24,17,6.96,5,0.10,
2025,07,09,20,4,1800,晴,東,5,5,6,6,5372,15,57,6.90,6,0.04,
2025,07,09,20,5,1800,晴,東,5,5,1,1,4650,34,31,6.94,1,0.12,1.52.1
2025,07,09,20,5,1800,晴,東,5,5,2,3,3273,59,67,7.06,3,0.15,1.53.6
2025,07,09,20,5,1800,晴,東,5,5,3,4,4679,30,43,6.93,4,0.16,1.55.5
2025,07,09,20,5,1800,晴,東,5,5,4,2,4293,38,51,7.10,2,0.14,1.56.9
2025,07,09,20,5,1800,晴,東,5,5,5,6,5303,13,46,7.03,6,0.12,
2025,07,09,20,5,1800,晴,東,5,5,6,5,3832,20,63,7.03,5,0.15,
2025,07,09,20,6,1800,晴,東,6,6,1,1,3340,61,64,7.00,1,0.17,1.53.1
2025,07,09,20,6,1800,晴,東,6,6,2,4,4296,18,30,6.95,4,0.08,1.54.6
2025,07,09,20,6,1800,晴,東,6,6,3,3,3855,8,18,7.02,3,0.09,1.55.0
2025,07,09,20,6,1800,晴,東,6,6,4,6,3471,58,49,7.02,6,0.17,1.56.6
2025,07,09,20,6,1800,晴,東,6,6,5,2,3434,11,66,6.97,2,0.12,
2025,07,09,20,6,1800,晴,東,6,6,6,5,3717,55,40,7.07,5,0.12,
2025,07,09,20,7,1800,晴,東,4,4,1,6,4734,37,44,7.00,5,0.02,1.51.3
2025,07,09,20,7,1800,晴,東,4,4,2,2,4079,21,36,7.01,2,0.15,1.53.1
2025,07,09,20,7,1800,晴,東,4,4,3,1,4960,9,74,7.08,1,0.17,1.53.8
2025,07,09,20,7,1800,晴,東,4,4,4,3,3804,31,54,7.07,3,0.11,1.55.7
2025,07,09,20,7,1800,晴,東,4,4,5,5,3461,25,22,7.11,6,0.11,
2025,07,09,20,7,1800,晴,東,4,4,6,4,4111,62,75,7.14,4,0.16,
2025,07,09,20,8,1800,晴,東,4,4,1,1,3849,14,71,6.87,1,0.12,1.51.6
2025,07,09,20,8,1800,晴,東,4,4,2,3,3300,47,41,7.05,3,0.12,1.52.8
2025,07,09,20,8,1800,晴,東,4,4,3,2,4363,53,68,6.96,2,0.11,1.54.9
2025,07,09,20,8,1800,晴,東,4,4,4,4,3911,39,34,7.01,4,0.15,1.55.4
2025,07,09,20,8,1800,晴,東,4,4,5,5,4978,22,59,7.01,5,0.14,
2025,07,09,20,8,1800,晴,東,4,4,6,6,5372,15,57,6.93,6,0.13,
2025,07,09,20,9,1800,晴,東,3,3,1,1,4293,38,51,7.00,1,0.17,1.51.9
2025,07,09,20,9,1800,晴,東,3,3,2,3,3454,46,33,7.00,3,0.21,1.52.6
2025,07,09,20,9,1800,晴,東,3,3,3,2,4042,7,24,6.91,2,0.18,1.53.8
2025,07,09,20,9,1800,晴,東,3,3,4,6,3951,43,48,7.00,6,0.21,1.55.3
2025,07,09,20,9,1800,晴,東,3,3,5,4,4010,56,21,6.98,4,0.28,
2025,07,09,20,9,1800,晴,東,3,3,6,5,3305,17,12,6.98,5,0.20,
2025,07,09,20,10,1800,晴,東,5,5,1,3,4650,34,31,6.89,3,0.13,1.52.1
2025,07,09,20,10,1800,晴,東,5,5,2,4,4092,33,58,6.96,4,0.18,1.55.2
2025,07,09,20,10,1800,晴,東,5,5,3,5,3442,36,16,6.98,6,0.19,1.55.7
2025,07,09,20,10,1800,晴,東,5,5,4,1,4296,18,30,6.92,1,0.07,1.56.5
2025,07,09,20,10,1800,晴,東,5,5,5,6,4083,19,69,7.07,5,0.18,
2025,07,09,20,10,1800,晴,東,5,5,6,2,4495,52,11,6.98,2,0.14,
2025,07,09,20,11,1800,晴,東,4,4,1,3,4079,21,36,6.93,3,0.19,1.52.8
2025,07,09,20,11,1800,晴,東,4,4,2,5,4679,30,43,6.87,5,0.22,1.53.7
2025,07,09,20,11,1800,晴,東,4,4,3,2,3615,24,17,6.95,2,0.21,1.55.8
2025,07,09,20,11,1800,晴,東,4,4,4,4,3855,8,18,7.04,4,0.23,1.56.5
2025,07,09,20,11,1800,晴,東,4,4,5,1,4958,54,45,6.97,1,0.19,
2025,07,09,20,11,1800,晴,東,4,4,6,6,3718,60,29,7.02,6,0.25,
2025,07,09,20,12,1800,晴,東,5,5,1,1,4124,12,39,6.88,1,0.12,1.52.4
2025,07,09,20,12,1800,晴,東,5,5,2,3,4363,53,68,6.99,3,0.13,1.53.3
2025,07,09,20,12,1800,晴,東,5,5,3,5,3826,28,25,7.03,5,0.19,1.54.0
2025,07,09,20,12,1800,晴,東,5,5,4,4,3717,55,40,7.01,4,0.21,1.55.2
2025,07,09,20,12,1800,晴,東,5,5,5,2,3286,6,56,6.99,2,0.14,
2025,07,09,20,12,1800,晴,東,5,5,6,6,3430,2,37,7.05,6,0.22,
2025,07,09,17,1,1800,晴,東,1,1,1,3,4007,19,13,6.79,3,0.12,1.51.3
2025,07,09,17,1,1800,晴,東,1,1,2,1,4529,78,38,6.78,1,0.10,1.52.7
2025,07,09,17,1,1800,晴,東,1,1,3,2,3955,36,77,6.86,2,0.09,1.54.4
2025,07,09,17,1,1800,晴,東,1,1,4,4,5154,15,29,6.82,4,0.12,1.55.2
2025,07,09,17,1,1800,晴,東,1,1,5,5,3928,25,35,6.88,5,0.02,2.00.4
2025,07,09,17,2,1800,晴,東,1,1,1,4,4264,13,61,6.82,4,0.12,1.51.3
2025,07,09,17,2,1800,晴,東,1,1,2,3,3265,29,55,6.82,2,0.18,1.52.7
2025,07,09,17,2,1800,晴,東,1,1,3,1,4164,79,82,6.75,1,0.16,1.54.4
2025,07,09,17,2,1800,晴,東,1,1,4,5,5134,54,27,6.83,5,0.10,1.55.4
2025,07,09,17,2,1800,晴,東,1,1,5,2,4062,71,69,6.81,3,0.22,1.56.7
2025,07,09,17,2,1800,晴,東,1,1,6,6,4180,55,57,6.84,6,0.15,1.58.2
2025,07,09,17,3,1800,晴,東,2,2,1,1,5064,14,75,6.80,1,0.07,1.51.0
2025,07,09,17,3,1800,晴,東,2,2,2,3,5132,16,12,6.85,3,0.05,1.52.2
2025,07,09,17,3,1800,晴,東,2,2,3,5,3950,68,67,6.82,5,0.05,1.54.4
2025,07,09,17,3,1800,晴,東,2,2,4,6,4811,12,14,6.81,6,0.08,1.55.9
